,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
36,12495,2020-12-25 20:00:00,124,96,141,124,94,10,980,13,25,4,12,23,71,31,62
37,12572,2020-12-25 20:00:00,127,102,153,127,96,14,1316,47,93,5,15,4,12,24,47
38,12573,2020-12-25 20:00:00,99,86,122,99,74,10,933,23,45,8,23,22,68,39,78
39,12574,2020-12-25 20:00:00,145,103,155,145,111,15,1459,48,95,14,42,3,7,25,50
40,12575,2020-12-25 20:00:00,132,114,178,132,100,10,946,40,80,12,34,4,11,26,52
41,12576,2020-12-25 20:00:00,135,112,174,135,103,10,952,33,66,11,32,10,30,25,49
42,12577,2020-12-25 20:00:00,218,136,221,218,168,18,1787,43,86,29,86,4,10,24,47
43,12578,2020-12-25 20:00:00,216,141,231,216,166,28,2786,44,88,12,35,7,21,26,52
44,12579,2020-12-25 20:00:00,202,141,231,202,152,26,2568,36,71,14,40,15,48,34,67
45,12672,2020-12-25 20:00:00,165,117,184,165,125,12,1105,22,43,6,18,22,70,37,74
46,12792,2020-12-25 20:00:00,180,137,223,180,136,15,1419,55,109,26,78,5,14,27,53
47,13271,2020-12-25 20:00:00,123,106,162,123,93,14,1307,26,52,6,18,9,27,26,52
48,13272,2020-12-25 20:00:00,225,167,284,225,175,21,2019,50,99,22,66,3,7,17,34
49,13273,2020-12-25 20:00:00,190,134,217,190,143,14,1350,45,90,10,28,2,6,21,41
50,13274,2020-12-25 20:00:00,207,138,226,207,157,15,1472,41,82,17,49,5,15,24,47
51,13275,2020-12-25 20:00:00,212,197,343,212,162,24,2381,44,88,29,87,3,9,21,41
52,13276,2020-12-25 20:00:00,165,106,162,165,125,13,1266,32,63,11,33,15,45,28,56
53,13277,2020-12-25 20:00:00,142,93,135,142,108,17,1675,34,68,10,30,5,16,20,39
54,13278,2020-12-25 20:00:00,237,160,270,237,187,27,2630,41,82,20,59,3,8,22,43
55,15040,2020-12-25 20:00:00,158,106,161,158,120,19,1842,54,107,9,25,4,10,25,49
56,15041,2020-12-25 20:00:00,137,105,159,137,104,11,1016,19,37,7,20,29,90,40,79
57,15042,2020-12-25 20:00:00,162,108,166,162,123,14,1311,48,95,9,25,6,19,22,44
58,15043,2020-12-25 20:00:00,145,103,156,145,111,16,1565,53,106,8,23,7,22,32,64
59,15044,2020-12-25 20:00:00,129,101,151,129,98,11,1035,20,40,7,21,22,70,38,75
60,15045,2020-12-25 20:00:00,140,102,153,140,107,14,1360,45,89,8,23,7,21,27,53
61,15046,2020-12-25 20:00:00,129,100,150,129,98,17,1622,51,101,10,30,5,14,28,55
62,15047,2020-12-25 20:00:00,142,102,153,142,108,14,1327,34,68,8,24,16,50,30,60
63,15048,2020-12-25 20:00:00,137,100,149,137,104,12,1137,34,68,8,22,18,56,33,66
64,15049,2020-12-25 20:00:00,129,107,164,129,98,12,1116,33,65,8,22,21,67,31,61
65,15050,2020-12-25 20:00:00,155,108,165,155,118,12,1132,29,58,11,32,23,71,32,64
66,15055,2020-12-25 20:00:00,128,98,145,128,97,14,1320,26,52,15,43,15,46,31,61
67,15056,2020-12-25 20:00:00,143,99,147,143,109,25,2473,29,57,52,159,8,25,28,56
68,15057,2020-12-25 20:00:00,156,101,152,156,119,20,1943,28,55,25,74,12,36,32,63
69,15058,2020-12-25 20:00:00,148,114,177,148,113,12,1167,28,56,9,27,23,71,35,70
70,15059,2020-12-25 20:00:00,165,120,189,165,125,15,1440,55,109,12,34,6,18,27,53
71,15060,2020-12-25 20:00:00,156,102,154,156,119,13,1246,43,85,7,19,10,30,23,46
72,15061,2020-12-25 20:00:00,147,104,158,147,112,16,1544,59,118,11,32,3,8,23,46
73,15062,2020-12-25 20:00:00,163,106,161,163,124,12,1120,47,93,9,26,10,32,22,43
74,15063,2020-12-25 20:00:00,148,106,162,148,113,14,1387,50,99,10,28,7,20,24,48
75,15064,2020-12-25 20:00:00,140,106,161,140,107,13,1247,45,89,7,19,11,33,23,46
76,15065,2020-12-25 20:00:00,159,107,164,159,121,13,1266,20,39,8,24,21,67,29,57
77,15066,2020-12-25 20:00:00,158,105,159,158,120,10,918,18,36,7,20,29,91,40,80
78,15067,2020-12-25 20:00:00,159,112,173,159,121,15,1440,30,59,15,45,18,55,31,62
79,15068,2020-12-25 20:00:00,176,117,184,176,133,14,1366,42,83,13,37,11,33,29,58
80,15069,2020-12-25 20:00:00,145,104,157,145,111,18,1716,23,46,10,28,24,74,34,67
81,15070,2020-12-25 20:00:00,153,113,176,153,117,14,1360,54,107,20,59,3,9,25,49
82,15071,2020-12-25 20:00:00,185,128,206,185,139,17,1628,44,87,27,81,7,22,25,50
83,15072,2020-12-25 20:00:00,142,108,165,142,108,13,1277,51,101,10,29,6,18,24,48
84,15073,2020-12-25 20:00:00,137,108,165,137,104,14,1348,48,96,10,28,9,26,28,56
85,15074,2020-12-25 20:00:00,149,116,181,149,114,17,1613,46,91,11,31,9,26,30,59
86,15075,2020-12-25 20:00:00,156,113,175,156,119,16,1509,53,105,12,36,7,22,23,46
87,15076,2020-12-25 20:00:00,135,108,166,135,103,11,1035,30,59,9,25,18,57,28,56
88,15077,2020-12-25 20:00:00,159,113,176,159,121,19,1819,47,93,20,58,7,22,25,50
89,15078,2020-12-25 20:00:00,149,110,170,149,114,13,1273,50,100,12,35,10,32,23,45
90,15079,2020-12-25 20:00:00,175,110,170,175,132,14,1311,29,58,11,31,23,72,33,66
91,15080,2020-12-25 20:00:00,159,115,180,159,121,21,2090,60,120,17,50,1,2,16,32
92,15081,2020-12-25 20:00:00,160,113,175,160,122,13,1238,56,112,11,32,2,4,18,36
93,15082,2020-12-25 20:00:00,160,111,171,160,122,15,1430,23,46,9,27,21,67,31,62
94,15083,2020-12-25 20:00:00,172,124,197,172,130,16,1586,52,103,24,71,5,15,24,47
95,15084,2020-12-25 20:00:00,98,98,145,95,71,13,1213,43,85,8,22,13,41,26,52
96,15085,2020-12-25 20:00:00,113,103,156,113,85,14,1372,39,77,9,26,11,34,23,45
