,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
31,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,25,2419,"国控,省控,市控,街镇",,132,71,141,2,4,68,121,132,213,130,99,,4,11,12154,370119,莱芜高新区,泰兴公司,鹏泉街道办事处,/Date(1603706400000+0800)/
32,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,16,1510,"国控,省控,市控,街镇",,137,33,66,38,121,109,169,102,153,137,104,,9,25,12155,370116,莱芜区,技术学院,凤城街道办事处,/Date(1603706400000+0800)/
33,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1010,"市控,街镇",,83,63,125,13,41,84,140,83,116,80,59,,4,11,12492,370104,槐荫区,黄河河务局,吴家堡街道办事处,/Date(1603706400000+0800)/
34,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,9,880,市控,,89,30,59,37,116,110,170,82,114,89,66,,4,10,12493,370102,历下区,锦屏中学,,/Date(1603706400000+0800)/
35,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,10,975,市控,,92,13,25,50,159,83,139,89,128,92,68,,3,9,12494,370100,济南,滨州临界点,,/Date(1603706400000+0800)/
36,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1031,市控,,80,24,48,33,103,91,149,79,107,80,59,,3,7,12495,370102,历下区,市博物馆,,/Date(1603706400000+0800)/
37,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1047,"市控,街镇",,98,61,122,14,43,73,127,98,145,92,68,,4,11,12572,370102,济南,奥体中心,龙洞街道办事处,/Date(1603706400000+0800)/
38,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,7,658,"省控,市控,街镇",,89,34,68,45,142,109,169,89,127,85,63,,5,15,12573,370112,历城区,商职学院,彩石街道办事处,/Date(1603706400000+0800)/
39,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,5,494,"省控,市控,街镇",,107,21,41,49,156,115,176,91,132,107,80,,5,15,12574,370125,济阳区,济阳城区,济阳街道办事处,/Date(1603706400000+0800)/
40,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,753,"省控,市控,街镇",,92,34,67,44,138,121,183,91,132,92,68,,5,14,12575,370125,济阳区,济阳区政府,济北街道办事处,/Date(1603706400000+0800)/
