,Area_code,Area_name,Enterprise_name,Latitude,Longitude,Pname,Stcode,Stname,Substation_id
68,370105,天桥区,桑梓店街道办事处,36.788414,116.92418,桑梓店街道办事处,370105,天桥区,15099
69,370105,天桥区,药山街道办事处,36.7136,116.9763,药山街道办事处,370105,天桥区,18821
70,370105,天桥区,工人新村南村街道办事处,36.69808,116.996181,工人新村南村街道办事处,370105,天桥区,18966
71,370112,历城区,省种子仓库,36.69289222,117.07390514,省种子仓库,370112,历城区,3
72,370112,历城区,建工学院,36.681383,117.197523,建工学院,370112,历城区,366
73,370112,历城区,商职学院,36.640353,117.276106,商职学院,370112,历城区,12573
74,370112,历城区,山大路街道办事处,36.678062,117.063751,山大路街道办事处,370112,历城区,15100
75,370112,历城区,东风街道办事处,36.693999,117.087849,东风街道办事处,370112,历城区,15101
76,370112,历城区,全福街道办事处,36.710971,117.065705,全福街道办事处,370112,历城区,15102
77,370112,历城区,华山街道办事处,36.716339,117.0622,华山街道办事处,370112,历城区,15103
78,370112,历城区,荷花路街道办事处,36.768058,117.109911,荷花路街道办事处,370112,历城区,15104
79,370112,历城区,唐冶街道办事处,36.685784,117.245542,唐冶街道办事处,370112,历城区,15105
80,370112,历城区,郭店街道办事处,36.729324,117.237404,郭店街道办事处,370112,历城区,15106
81,370112,历城区,董家街道办事处,36.755423,117.244297,董家街道办事处,370112,历城区,15107
82,370112,历城区,唐王街道办事处,36.8104134,117.303862,唐王街道办事处,370112,历城区,15108
83,370112,历城区,王舍人街道办事处,36.730349,117.149516,王舍人街道办事处,370112,历城区,16503
84,370112,历城区,鲍山街道办事处,36.719296,117.186804,鲍山街道办事处,370112,历城区,16504
85,370113,长清区,长清党校,36.55435617,116.77839808,长清党校,370113,长清区,8
86,370113,长清区,长清大学城,36.551343,116.817297,长清大学城,370113,长清区,12672
87,370113,长清区,平安街道办事处,36.603875,116.811405,平安街道办事处,370113,长清区,15109
88,370113,长清区,五峰街道办事处,36.448112,116.83551,五峰街道办事处,370113,长清区,15110
89,370113,长清区,归德街道办事处,36.48769,116.680414,归德街道办事处,370113,长清区,15111
90,370113,长清区,孝里街道办事处,36.393013,116.649031,孝里街道办事处,370113,长清区,15112
91,370113,长清区,马山镇,36.388223,116.786262,马山镇,370113,长清区,15113
92,370113,长清区,双泉镇,36.351902,116.719528,双泉镇,370113,长清区,15114
93,370113,长清区,张夏街道办事处,36.460014,116.920845,张夏街道办事处,370113,长清区,15115
94,370113,长清区,万德街道办事处,36.346144,116.929562,万德街道办事处,370113,长清区,15116
95,370114,高新区,开发区,36.678633,117.140209,开发区,370114,高新区,6
96,370114,高新区,东城逸家小学,36.655833,117.148889,东城逸家小学,370114,高新区,365
